Caso,Algoritmo,Inicio,Destino,NodosVisitados,CantidadAristas,TiempoMs
1,BFS,A,A,1,0,0,112
1,BFS,A,A,1,0,0,147
1,BFS,a,c,3,2,1,111
1,BFS,A,B,2,1,0,296
1,BFS,B,Z,22,5,1,630
1,DFS,B,Z,25,9,2,992
1,DFS,B,Z,25,9,0,671
1,DFS,B,G,14,9,0,588
1,DFS,T,S,23,16,0,304
1,DFS,B,T,9,6,0,345
1,BFS,B,T,23,6,2,538
2,BFS,B,T,23,6,0,377
2,DFS,B,T,9,6,0,084
2,BFS,B,T,25,6,0,801
2,DFS,B,T,14,8,0,480
3,BFS,F,W,22,7,1,402
3,DFS,F,W,25,14,0,423
4,BFS,Y,C,14,5,0,511
4,DFS,Y,C,7,5,0,143
1,DFS,K,A,2,1,0,107
1,DFS,F,A,6,5,0,053
1,DFS,G,A,6,5,0,053
2,DFS,G,A,6,5,0,051
